iter	Passed	Remaining
789	861179	228921
790	862071	227778
791	863074	226666
792	864134	225568
793	864985	224416
794	866037	223317
795	867092	222219
796	868185	221131
797	869290	220045
798	870234	218920
799	871320	217830
800	872422	216744
801	873336	215611
802	874497	214540
803	875466	213422
804	876492	212317
805	877629	211240
806	878592	210121
807	879667	209029
808	880665	207919
809	881629	206801
810	882625	205692
811	883928	204653
812	884964	203552
813	885989	202449
814	887039	201352
815	887830	200196
816	888932	199112
817	890124	198047
818	891131	196941
819	892256	195861
820	893393	194783
821	894445	193687
822	895529	192598
823	896614	191509
824	897741	190430
825	898762	189327
826	899817	188232
827	900758	187114
828	901786	186013
829	902788	184908
830	903761	183797
831	904720	182683
832	905719	181578
833	906676	180465
834	907720	179369
835	908876	178296
836	910213	177257
837	911208	176152
838	912296	175065
839	913342	173970
840	914386	172874
841	915616	171814
842	916656	170717
843	917630	169609
844	918493	168481
845	919425	167365
846	920370	166253
847	921313	165141
848	922334	164042
849	923386	162950
850	924395	161850
851	925257	160725
852	926345	159639
853	927659	158592
854	928634	157487
855	929629	156386
856	930717	155300
857	931771	154209
858	932810	153115
859	933836	152019
860	934854	150923
861	935880	149827
862	936964	148741
863	937828	147621
864	938969	146544
865	939997	145450
866	940999	144351
867	941997	143253
868	943010	142156
869	943896	141042
870	944934	139950
871	945928	138851
872	946748	137728
873	947727	136628
874	948705	135529
875	949822	134449
876	950930	133368
877	951932	132273
878	952995	131186
879	953929	130081
880	955004	128996
881	956086	127911
882	957095	126817
883	958089	125722
884	959209	124643
885	960191	123546
886	961292	122464
887	962453	121390
888	963482	120299
889	964494	119207
890	965493	118113
891	966469	117016
892	967490	115925
893	968446	114827
894	969515	113742
895	970624	112661
896	971545	111559
897	972614	110475
898	973659	109387
899	974696	108299
900	975709	107208
901	976768	106123
902	977606	105014
903	978554	103917
904	979686	102839
905	980673	101747
906	981650	100654
907	982704	99569
908	983764	98484
909	984771	97394
910	985864	96313
911	986843	95221
912	987903	94137
913	989026	93059
914	990121	91978
915	991193	90895
916	992229	89809
917	993257	88722
918	994377	87643
919	995479	86563
920	996356	85463
921	997683	84402
922	998820	83325
923	999894	82242
924	1000826	81148
925	1001707	80050
926	1002753	78965
927	1003657	77869
928	1004709	76786
929	1005789	75704
930	1006780	74616
931	1007840	73533
932	1008835	72445
933	1009798	71356
934	1010556	70252
935	1011494	69162
936	1012567	68080
937	1013732	67005
938	1014628	65913
939	1015667	64829
940	1016710	63746
941	1017736	62663
942	1018728	61577
943	1019770	60494
944	1020770	59409
945	1021860	58330
946	1023018	57254
947	1024120	56175
948	1025268	55098
949	1026288	54015
950	1027209	52926
951	1028238	51843
952	1029327	50764
953	1030397	49683
954	1031629	48610
955	1032431	47517
956	1033470	46435
957	1034595	45358
958	1035830	44284
959	1036982	43207
960	1037999	42124
961	1039143	41047
962	1040181	39965
963	1041111	38879
964	1042205	37800
965	1043104	36713
966	1044142	35632
967	1045101	34548
968	1046180	33469
969	1047194	32387
970	1048356	31310
971	1049492	30232
972	1050618	29153
973	1051664	28073
974	1052654	26991
975	1053678	25910
976	1054814	24831
977	1055853	23751
978	1056860	22670
979	1057947	21590
980	1058968	20510
981	1060082	19431
982	1061042	18349
983	1061989	17268
984	1063058	16188
985	1064102	15108
986	1065145	14029
987	1066200	12949
988	1067303	11870
989	1068227	10790
990	1069244	9710
991	1070345	8631
992	1071338	7552
993	1072417	6473
994	1073512	5394
995	1074396	4314
996	1075405	3235
997	1076555	2157
998	1077629	1078
999	1078618	0
